V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
4414, -18454, 14037, 4426, -18414, 13988, 48.889648 
-4449, -19200, 23647, -4408, -19171, 23580, 66.800781 
5121, -30464, 25341, 5146, -30402, 25256, 84.984375 
2188, -22210, 20020, 2215, -22167, 19951, 68.246094 
5331, -12810, 7477, 5333, -12778, 7444, 32.183105 
4396, -14186, 9788, 4404, -14152, 9747, 40.067383 
7997, -17624, 9625, 7999, -17578, 9578, 46.128906 
-4876, -5036, 9911, -4850, -5034, 9885, 25.974609 
-16312, -22293, 38603, -16212, -22281, 38494, 108.296875 
1004, -4010, 3004, 1008, -4000, 2991, 12.005371 
-10, -21984, 21993, 33, -21944, 21911, 81.857422 
-15088, -18209, 33296, -14995, -18205, 33201, 94.718750 
771, -14212, 13439, 796, -14184, 13387, 51.017578 
-9590, -3658, 13246, -9544, -3670, 13215, 30.350586 
-6464, -20104, 26565, -6395, -20081, 26477, 87.582031 
6789, -21870, 15080, 6811, -21816, 15004, 75.576172 
-5770, -2424, 8192, -5740, -2432, 8173, 18.873047 
8981, -25086, 16103, 9005, -25020, 16014, 88.282227 
-14999, -16765, 31762, -14896, -16770, 31667, 94.974609 
1446, -32268, 30820, 1518, -32207, 30689, 130.796875 
-5491, -7048, 12537, -5449, -7049, 12498, 38.278320 
1440, -2646, 1205, 1441, -2637, 1196, 8.607666 
-3609, -17098, 20705, -3544, -17079, 20624, 80.445312 
16087, -28526, 12437, 16096, -28434, 12338, 98.318359 
-15210, -19468, 34677, -15089, -19478, 34567, 109.394531 
-8619, -20722, 29340, -8519, -20713, 29232, 107.095703 
-8286, -29093, 37378, -8162, -29070, 37233, 144.531250 
-6453, -25191, 31643, -6344, -25172, 31516, 126.193359 
4819, -15328, 10508, 4844, -15289, 10444, 63.500000 
14999, -26616, 11616, 15013, -26528, 11515, 100.419922 
6198, -14124, 7924, 6216, -14082, 7866, 57.721191 
9835, -20835, 10999, 9857, -20772, 10914, 84.417969 
15279, -32278, 16997, 15318, -32180, 16861, 135.201172 
12311, -27810, 15498, 12348, -27729, 15380, 117.470703 
8207, -12730, 4521, 8212, -12683, 4471, 49.749512 
1469, -20020, 18549, 1534, -19988, 18453, 95.710938 
-5917, -28372, 34288, -5785, -28355, 34141, 146.390625 
-11684, -5936, 17618, -11602, -5972, 17575, 42.494141 
4037, -39682, 35643, 4168, -39619, 35450, 192.453125 
-10871, -16107, 26976, -10755, -16128, 26883, 92.396484 
