I_d, I_q, I_d_f, I_q_f, errId, errIq 
160, -1353, 158.655121, -1349.371582, 1.344879, -3.628418 
126, -1357, 125.484764, -1354.198486, 0.515236, -2.801514 
126, -1358, 125.607788, -1355.526123, 0.392212, -2.473877 
93, -1362, 92.218216, -1358.874512, 0.781784, -3.125488 
93, -1363, 92.263359, -1359.539551, 0.736641, -3.460449 
93, -1363, 92.308495, -1360.204712, 0.691505, -2.795288 
60, -1366, 58.797043, -1362.732178, 1.202957, -3.267822 
60, -1367, 58.825783, -1363.398193, 1.174217, -3.601807 
26, -1367, 25.217422, -1364.433594, 0.782578, -2.566406 
26, -1367, 25.217422, -1364.433594, 0.782578, -2.566406 
26, -1367, 25.217422, -1364.433594, 0.782578, -2.566406 
-7, -1369, -8.406289, -1364.640747, 1.406289, -4.359253 
-7, -1369, -8.406289, -1364.640747, 1.406289, -4.359253 
-41, -1367, -42.004646, -1363.353027, 1.004646, -3.646973 
-41, -1366, -41.984116, -1362.686768, 0.984116, -3.313232 
-41, -1366, -41.963585, -1362.020386, 0.963585, -3.979614 
-74, -1363, -75.470520, -1359.907471, 1.470520, -3.092529 
-74, -1363, -75.433586, -1359.241943, 1.433586, -3.758057 
-107, -1359, -108.792419, -1355.641602, 1.792419, -3.358398 
-107, -1358, -108.685760, -1354.312622, 1.685760, -3.687378 
-141, -1354, -141.880127, -1349.897827, 0.880127, -4.102173 
-141, -1353, -141.740753, -1348.571777, 0.740753, -4.428223 
-141, -1351, -141.601379, -1347.245728, 0.601379, -3.754272 
-173, -1346, -174.492920, -1341.364746, 1.492920, -4.635254 
-173, -1343, -174.234924, -1339.381470, 1.234924, -3.618530 
-206, -1337, -206.874374, -1332.705811, 0.874374, -4.294189 
-205, -1335, -206.567596, -1330.729492, 1.567596, -4.270508 
-205, -1333, -206.158554, -1328.094360, 1.158554, -4.905640 
-237, -1325, -238.461304, -1320.643921, 1.461304, -4.356079 
-237, -1322, -237.987457, -1318.019653, 0.987457, -3.980347 
-269, -1314, -269.849792, -1309.144409, 0.849792, -4.855591 
-267, -1310, -269.176819, -1305.879639, 2.176819, -4.120361 
-267, -1309, -268.638489, -1303.267944, 1.638489, -5.732056 
-298, -1298, -299.912781, -1293.006714, 1.912781, -4.993286 
-298, -1294, -299.159607, -1289.759521, 1.159607, -4.240479 
-329, -1283, -330.012146, -1278.769897, 1.012146, -4.230103 
-327, -1281, -329.179199, -1275.542358, 2.179199, -5.457642 
-327, -1277, -328.346252, -1272.314697, 1.346252, -4.685303 
-357, -1265, -358.498657, -1259.991577, 1.498657, -5.008423 
-355, -1261, -357.404022, -1256.144287, 2.404022, -4.855713 
-386, -1249, -387.054504, -1243.138306, 1.054504, -5.861694 
-385, -1245, -385.865356, -1239.319092, 0.865356, -5.680908 
-383, -1239, -384.478088, -1234.863525, 1.478088, -4.136475 
-411, -1226, -413.502625, -1221.227295, 2.502625, -4.772705 
-410, -1222, -412.005951, -1216.807129, 2.005951, -5.192871 
-438, -1207, -440.254700, -1201.905029, 2.254700, -5.094971 
-437, -1203, -438.649597, -1197.523193, 1.649597, -5.476807 
-435, -1198, -436.815186, -1192.515137, 1.815186, -5.484863 
-462, -1182, -464.350189, -1177.050293, 2.350189, -4.949707 
-461, -1178, -462.392944, -1172.089111, 1.392944, -5.910889 
-487, -1161, -489.051208, -1155.429443, 2.051208, -5.570557 
-485, -1155, -486.972351, -1150.518066, 1.972351, -4.481934 
-483, -1150, -484.633606, -1144.992554, 1.633606, -5.007446 
-509, -1133, -510.497070, -1127.846069, 1.497070, -5.153931 
-506, -1127, -508.022949, -1122.379883, 2.022949, -4.620117 
-531, -1110, -532.913452, -1104.119141, 1.913452, -5.880859 
-529, -1105, -530.305420, -1098.715698, 1.305420, -6.284302 
-553, -1086, -554.473755, -1079.979126, 1.473755, -6.020874 
-550, -1079, -551.428833, -1074.048462, 1.428833, -4.951538 
-547, -1074, -548.688477, -1068.710815, 1.688477, -5.289185 
-570, -1054, -571.662292, -1049.014160, 1.662292, -4.985840 
-567, -1049, -568.472229, -1043.160278, 1.472229, -5.839722 
-587, -1029, -589.333435, -1023.064636, 2.333435, -5.935364 
-571, -1022, -572.666748, -1017.291138, 1.666748, -4.708862 
-553, -1017, -555.000122, -1010.940308, 2.000122, -6.059692 
-561, -997, -562.586975, -991.029724, 1.586975, -5.970276 
-543, -990, -544.769226, -985.116089, 1.769226, -4.883911 
-550, -971, -551.582581, -965.889526, 1.582581, -5.110474 
-531, -966, -533.624512, -960.416626, 2.624512, -5.583374 
-514, -959, -516.332275, -954.910889, 2.332275, -4.089111 
-519, -941, -521.239746, -936.319824, 2.239746, -4.680176 
-501, -935, -503.442078, -930.690674, 2.442078, -4.309326 
-506, -918, -508.676758, -913.357361, 2.676758, -4.642639 
-487, -913, -490.082397, -908.234009, 3.082397, -4.765991 
-470, -907, -471.762909, -902.503296, 1.762909, -4.496704 
-474, -890, -475.801880, -885.860596, 1.801880, -4.139404 
-454, -885, -456.685181, -880.664978, 2.685181, -4.335022 
-458, -869, -460.079193, -864.846558, 2.079193, -4.153442 
-439, -865, -441.499695, -860.025269, 2.499695, -4.974731 
-421, -859, -422.920105, -855.203857, 1.920105, -3.796143 
-422, -845, -424.512054, -840.277100, 2.512054, -4.722900 
-403, -839, -405.391907, -835.403320, 2.391907, -3.596680 
